Date,"PM,(µg/m3)"
6/14/16 0:01,2.098999
6/14/16 0:06,2.098999
6/14/16 0:11,2.197998
6/14/16 0:15,2.197998
6/14/16 0:20,2.098999
6/14/16 0:25,2.197998
6/14/16 0:30,2
6/14/16 0:35,2.098999
6/14/16 0:40,2
6/14/16 0:45,2.098999
6/14/16 0:49,2.098999
6/14/16 0:54,2
6/14/16 0:59,2
6/14/16 1:04,2.098999
6/14/16 1:09,2.098999
6/14/16 1:14,1.901001
6/14/16 1:18,2.098999
6/14/16 1:23,1.901001
6/14/16 1:28,2.098999
6/14/16 1:33,2.098999
6/14/16 1:38,2
6/14/16 1:43,2
6/14/16 1:48,2.098999
6/14/16 1:52,1.901001
6/14/16 1:57,2
6/14/16 2:02,2
6/14/16 2:07,1.901001
6/14/16 2:12,2
6/14/16 2:17,2.098999
6/14/16 2:22,1.901001
6/14/16 2:26,2.098999
6/14/16 2:31,2
6/14/16 2:36,2
6/14/16 2:41,2
6/14/16 2:46,2
6/14/16 2:51,2.098999
6/14/16 2:56,2
6/14/16 3:00,2
6/14/16 3:05,2.098999
6/14/16 3:10,2.098999
6/14/16 3:15,2
6/14/16 3:20,2.098999
6/14/16 3:25,2
6/14/16 3:30,2.098999
6/14/16 3:34,1.901001
6/14/16 3:39,2
6/14/16 3:44,2.098999
6/14/16 3:49,2
6/14/16 3:54,2
6/14/16 3:59,2
6/14/16 4:03,2
6/14/16 4:08,2
6/14/16 4:13,2.098999
6/14/16 4:18,2.098999
6/14/16 4:23,2
6/14/16 4:28,2
6/14/16 4:33,2
6/14/16 4:37,2.098999
6/14/16 4:42,2
6/14/16 4:47,2
6/14/16 4:52,2
6/14/16 4:57,2
6/14/16 5:02,2
6/14/16 5:07,2.098999
6/14/16 5:11,2
6/14/16 5:16,2
6/14/16 5:21,2
6/14/16 5:26,2
6/14/16 5:31,2
6/14/16 5:36,2
6/14/16 5:41,2
6/14/16 5:45,2
6/14/16 5:50,1.901001
6/14/16 5:55,1.802002
6/14/16 6:00,2
6/14/16 6:05,2
6/14/16 6:10,2
6/14/16 6:15,2.098999
6/14/16 6:19,2.098999
6/14/16 6:24,2
6/14/16 6:29,2.098999
6/14/16 6:34,2.098999
6/14/16 6:39,2.098999
6/14/16 6:44,2
6/14/16 6:48,2
6/14/16 6:53,2.098999
6/14/16 6:58,2
6/14/16 7:03,2
6/14/16 7:08,2
6/14/16 7:13,2
6/14/16 7:18,2.098999
6/14/16 7:22,2
6/14/16 7:27,2.098999
6/14/16 7:32,2
6/14/16 7:37,2
6/14/16 7:42,2
6/14/16 7:47,2
6/14/16 7:52,2
6/14/16 7:56,2
6/14/16 8:01,2
6/14/16 8:06,2
6/14/16 8:11,2
6/14/16 8:16,2
6/14/16 8:21,1.901001
6/14/16 8:26,1.901001
6/14/16 8:30,2
6/14/16 8:35,2.098999
6/14/16 8:40,2
6/14/16 8:45,1.901001
6/14/16 8:50,1.901001
6/14/16 8:55,2
6/14/16 8:59,2
6/14/16 9:04,2
6/14/16 9:09,2
6/14/16 9:14,2
6/14/16 9:19,2
6/14/16 9:24,1.901001
6/14/16 9:29,2
6/14/16 9:33,2.098999
6/14/16 9:38,2
6/14/16 9:43,2
6/14/16 9:48,1.901001
6/14/16 9:53,2
6/14/16 9:58,2
6/14/16 10:03,2.098999
6/14/16 10:07,2
6/14/16 10:12,2
6/14/16 10:17,1.901001
6/14/16 10:22,2
6/14/16 10:27,1.901001
6/14/16 10:32,2
6/14/16 10:37,2
6/14/16 10:41,1.901001
6/14/16 10:46,2
6/14/16 10:51,2
6/14/16 10:56,2
6/14/16 11:01,2
6/14/16 11:06,1.901001
6/14/16 11:11,1.901001
6/14/16 11:15,1.901001
6/14/16 11:20,1.802002
6/14/16 11:25,2
6/14/16 11:30,1.901001
6/14/16 11:35,1.802002
6/14/16 11:40,1.901001
6/14/16 11:44,1.901001
6/14/16 11:49,2
6/14/16 11:54,1.901001
6/14/16 11:59,1.901001
6/14/16 12:04,2
6/14/16 12:09,1.901001
6/14/16 12:14,1.901001
6/14/16 12:18,1.802002
6/14/16 12:23,1.802002
6/14/16 12:28,1.802002
6/14/16 12:33,1.802002
6/14/16 12:38,1.901001
6/14/16 12:43,1.901001
6/14/16 12:48,1.901001
6/14/16 12:52,1.802002
6/14/16 12:57,1.802002
6/14/16 13:02,2
6/14/16 13:07,1.901001
6/14/16 13:12,2
6/14/16 13:17,1.901001
6/14/16 13:22,1.901001
6/14/16 13:26,1.901001
6/14/16 13:31,1.802002
6/14/16 13:36,2
6/14/16 13:41,1.802002
6/14/16 13:46,1.901001
6/14/16 13:51,1.802002
6/14/16 13:56,1.802002
6/14/16 14:00,1.802002
6/14/16 14:05,1.802002
6/14/16 14:10,1.802002
6/14/16 14:15,1.901001
6/14/16 14:20,1.802002
6/14/16 14:25,1.901001
6/14/16 14:29,1.901001
6/14/16 14:34,1.802002
6/14/16 14:39,1.802002
6/14/16 14:44,1.901001
6/14/16 14:49,1.802002
6/14/16 14:54,1.901001
6/14/16 14:59,1.901001
6/14/16 15:03,1.901001
6/14/16 15:08,1.802002
6/14/16 15:13,1.901001
6/14/16 15:18,1.802002
6/14/16 15:23,1.802002
6/14/16 15:28,1.802002
6/14/16 15:33,1.802002
6/14/16 15:37,1.802002
6/14/16 15:42,1.901001
6/14/16 15:47,1.802002
6/14/16 15:52,1.901001
6/14/16 15:57,1.802002
6/14/16 16:02,1.901001
6/14/16 16:07,1.901001
6/14/16 16:11,1.802002
6/14/16 16:16,1.901001
6/14/16 16:21,2
6/14/16 16:26,2
6/14/16 16:31,1.901001
6/14/16 16:36,2
6/14/16 16:41,1.901001
6/14/16 16:45,1.901001
6/14/16 16:50,1.901001
6/14/16 16:55,2
6/14/16 17:00,1.901001
6/14/16 17:05,2
6/14/16 17:10,1.802002
6/14/16 17:14,1.901001
6/14/16 17:19,1.901001
6/14/16 17:24,1.901001
6/14/16 17:29,1.802002
6/14/16 17:34,1.901001
6/14/16 17:39,1.901001
6/14/16 17:44,1.802002
6/14/16 17:48,1.901001
6/14/16 17:53,1.802002
6/14/16 17:58,1.901001
6/14/16 18:03,2
6/14/16 18:08,1.802002
6/14/16 18:13,1.901001
6/14/16 18:18,1.7030029
6/14/16 18:22,1.802002
6/14/16 18:27,1.901001
6/14/16 18:32,1.802002
6/14/16 18:37,1.802002
6/14/16 18:42,1.901001
6/14/16 18:47,1.901001
6/14/16 18:52,1.901001
6/14/16 18:56,1.901001
6/14/16 19:01,1.7030029
6/14/16 19:06,1.901001
6/14/16 19:11,1.901001
6/14/16 19:16,1.802002
6/14/16 19:21,1.802002
6/14/16 19:25,1.802002
6/14/16 19:30,1.901001
6/14/16 19:35,1.802002
6/14/16 19:40,1.802002
6/14/16 19:45,1.802002
6/14/16 19:50,1.802002
6/14/16 19:55,1.7030029
6/14/16 19:59,1.802002
6/14/16 20:04,1.901001
6/14/16 20:09,1.802002
6/14/16 20:14,1.901001
6/14/16 20:19,1.802002
6/14/16 20:24,1.901001
6/14/16 20:29,1.802002
6/14/16 20:33,1.7030029
6/14/16 20:38,1.7030029
6/14/16 20:43,1.7030029
6/14/16 20:48,1.802002
6/14/16 20:53,1.802002
6/14/16 20:58,1.802002
6/14/16 21:03,1.7030029
6/14/16 21:07,1.802002
6/14/16 21:12,1.7030029
6/14/16 21:17,1.802002
6/14/16 21:22,1.7030029
6/14/16 21:27,1.7030029
6/14/16 21:32,1.802002
6/14/16 21:37,1.7030029
6/14/16 21:41,1.7030029
6/14/16 21:46,1.802002
6/14/16 21:51,1.802002
6/14/16 21:56,1.802002
6/14/16 22:01,1.802002
6/14/16 22:06,1.802002
6/14/16 22:11,1.802002
6/14/16 22:15,1.802002
6/14/16 22:20,1.7030029
6/14/16 22:25,1.802002
6/14/16 22:30,1.7030029
6/14/16 22:35,1.7030029
6/14/16 22:40,1.7030029
6/14/16 22:44,1.7030029
6/14/16 22:49,1.7030029
6/14/16 22:54,1.7030029
6/14/16 22:59,1.802002
6/14/16 23:04,1.7030029
6/14/16 23:09,1.7030029
6/14/16 23:14,1.802002
6/14/16 23:18,1.7030029
6/14/16 23:23,1.7030029
6/14/16 23:28,1.802002
6/14/16 23:33,1.7030029
6/14/16 23:38,1.802002
6/14/16 23:43,1.7030029
6/14/16 23:48,1.6039963
6/14/16 23:52,1.6039963
6/14/16 23:57,1.7030029
6/15/16 0:02,1.7030029
6/15/16 0:07,1.5049973
6/15/16 0:12,1.7030029
6/15/16 0:17,1.7030029
6/15/16 0:22,1.7030029
6/15/16 0:26,1.7030029
6/15/16 0:31,1.7030029
6/15/16 0:36,1.7030029
6/15/16 0:41,1.6039963
6/15/16 0:46,1.7030029
6/15/16 0:51,1.7030029
6/15/16 0:55,1.7030029
6/15/16 1:00,1.7030029
6/15/16 1:05,1.6039963
6/15/16 1:10,1.6039963
6/15/16 1:15,1.7030029
6/15/16 1:20,1.7030029
6/15/16 1:25,1.7030029
6/15/16 1:29,1.7030029
6/15/16 1:34,1.7030029
6/15/16 1:39,1.7030029
6/15/16 1:44,1.6039963
6/15/16 1:49,1.7030029
6/15/16 1:54,1.6039963
6/15/16 1:59,1.7030029
6/15/16 2:03,1.6039963
6/15/16 2:08,1.7030029
6/15/16 2:13,1.7030029
6/15/16 2:18,1.6039963
6/15/16 2:23,1.6039963
6/15/16 2:28,1.6039963
6/15/16 2:33,1.7030029
6/15/16 2:37,1.6039963
6/15/16 2:42,1.6039963
6/15/16 2:47,1.7030029
6/15/16 2:52,1.7030029
6/15/16 2:57,1.7030029
6/15/16 3:02,1.7030029
6/15/16 3:07,1.7030029
6/15/16 3:11,1.7030029
6/15/16 3:16,1.5049973
6/15/16 3:21,1.6039963
6/15/16 3:26,1.7030029
6/15/16 3:31,1.6039963
6/15/16 3:36,1.6039963
6/15/16 3:41,1.6039963
6/15/16 3:45,1.7030029
6/15/16 3:50,1.5049973
6/15/16 3:55,1.7030029
6/15/16 4:00,1.7030029
6/15/16 4:05,1.6039963
6/15/16 4:10,1.5049973
6/15/16 4:14,1.5049973
