date/iso,value,value with 10% randomization
6/14/16 1:03,0.199,0.18038
6/14/16 3:21,0.097,0.10663
6/14/16 11:07,0.145,0.14511
6/14/16 13:19,0.097,0.08921
6/14/16 13:24,0.155,0.16776
6/14/16 17:08,0.024,0.02396
6/14/16 17:19,0.031,0.03357
6/14/16 17:23,0.032,0.03198
6/14/16 17:29,0.022,0.02311
6/14/16 17:39,0.03,0.02883
6/14/16 17:48,0.027,0.02517
6/14/16 18:18,0.043,0.04073
6/14/16 18:32,0.024,0.02248
6/14/16 18:38,0.044,0.0425
6/14/16 21:28,0.200000003,0.20756
6/14/16 21:28,0.023,0.02082
6/14/16 23:19,0.12,0.12966
6/14/16 23:23,0.032,0.03272
6/15/16 0:28,0.152,0.15289
6/15/16 3:03,0.174,0.16809
6/15/16 3:32,0.173,0.17204
6/15/16 6:35,0.285,0.30355
6/15/16 15:26,0.064,0.06219
6/15/16 15:50,0.043,0.04463
6/15/16 15:51,0.028,0.0296
6/15/16 15:51,0.028,0.02956
6/15/16 16:17,0.035,0.0337
6/15/16 16:58,0.057,0.05268
6/15/16 17:51,0.129,0.11891
6/15/16 19:33,0.094,0.10326
6/15/16 20:26,0.021,0.0226
6/15/16 21:08,0.047,0.04748
6/15/16 21:13,0.051,0.04834
6/15/16 21:22,0.019,0.01756
6/15/16 22:22,0.033,0.03087
6/15/16 22:26,0.035,0.03466
6/15/16 22:31,0.05,0.0547
6/15/16 22:40,0.085,0.09117
6/15/16 22:52,0.047,0.04589
6/15/16 22:54,0.032,0.03243
6/15/16 23:01,0.044,0.04454
6/15/16 23:04,0.022,0.02412
6/16/16 0:31,0.075,0.07326
6/16/16 1:16,0.289,0.29757
6/16/16 1:16,0.133,0.12822
6/16/16 3:08,0.038,0.0356
6/16/16 3:11,0.038,0.03971
6/16/16 3:15,0.028,0.02724
6/16/16 3:18,0.038,0.0399
6/16/16 3:21,0.043,0.04714
6/16/16 3:22,0.039,0.04242
6/16/16 13:15,0.082,0.08194
6/16/16 13:43,0.016,0.01552
6/16/16 16:20,0.211,0.20742
6/16/16 16:25,0.075,0.07614
6/16/16 16:27,0.038,0.0385
6/16/16 16:35,0.081,0.07349
6/16/16 16:38,0.018,0.01952
6/16/16 16:43,0.041,0.04181
6/16/16 16:47,0.033,0.03101
6/16/16 17:40,0.041,0.04498
6/16/16 17:47,0.201,0.19189
6/16/16 19:01,0.045,0.04673
6/16/16 19:05,0.056,0.05284
6/16/16 19:10,0.033,0.03462
6/16/16 19:19,0.059,0.0572
6/16/16 20:22,0.476,0.49884
6/16/16 22:13,0.073,0.07348
6/17/16 2:26,0.378,0.37393
6/17/16 2:29,0.032,0.032
6/17/16 2:30,0.027,0.0273
6/17/16 2:33,0.023,0.02126
6/17/16 4:48,0.067,0.06094
6/17/16 13:31,0.056,0.05788
6/17/16 14:17,0.108,0.09816
6/17/16 14:17,0.031,0.03012
6/17/16 14:18,0.18,0.17844
6/17/16 15:30,0.03,0.02776
6/17/16 15:33,0.029,0.02693
6/17/16 15:35,0.037,0.03915
6/17/16 15:43,0.281,0.30736
6/17/16 15:56,0.035,0.03638
6/17/16 16:02,0.038,0.03611
6/17/16 16:09,0.026,0.02428
6/17/16 16:27,0.077,0.08105
6/17/16 16:42,0.061,0.05936
6/17/16 16:43,0.041,0.04338
6/17/16 16:43,0.027,0.02934
6/17/16 17:07,0.041,0.04377
6/17/16 17:12,0.04,0.04395
6/17/16 17:18,0.061,0.05941
6/17/16 17:21,0.018,0.01841
6/17/16 18:05,0.059,0.06254
6/17/16 18:15,0.039,0.0375
6/17/16 18:24,0.05,0.05267
6/17/16 18:37,0.019,0.01894
6/17/16 18:39,0.035,0.03174
6/17/16 18:48,0.035,0.03618
6/17/16 18:51,0.027,0.02649
6/17/16 18:57,0.031,0.03092
6/17/16 19:10,0.033,0.0348
6/17/16 19:38,0.034,0.03138
6/17/16 20:28,0.038,0.03919
6/17/16 21:28,0.112,0.12243
6/17/16 21:29,0.043,0.04061
6/17/16 21:33,0.029,0.03024
6/18/16 3:34,0.063,0.06671
6/18/16 4:14,0.113,0.11799
6/18/16 13:15,0.078,0.07114
6/18/16 15:02,0.04,0.0392
6/18/16 15:13,0.031,0.02975
6/18/16 15:44,0.033,0.03123
6/18/16 15:58,0.047,0.05054
6/18/16 17:14,0.075,0.06996
6/18/16 17:22,0.057,0.05509
6/18/16 17:25,0.04,0.03949
6/18/16 17:28,0.034,0.03128
6/18/16 17:50,0.028,0.02556
6/18/16 17:56,0.057,0.05429
6/18/16 18:08,0.027,0.02622
6/18/16 18:21,0.055,0.05456
6/18/16 18:35,0.04,0.04343
6/18/16 19:35,0.083,0.07569
6/18/16 19:36,0.041,0.0449
6/18/16 19:37,0.025,0.02684
6/18/16 19:55,0.038,0.04126
